,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,0000997932d777bf,explanation why the edits make under my username hardcore metallica fan be revert they werent vandalism just closure on some gas after i vote at new york dolls fac and please dont remove the template from the talk page since im retire now 89 205 38 27,0,0,0,0,0,0
1,000103f0d9cfb60f,daww he match this background colour im seemingly stick with thanks talk 21:51 january 11 2016 utc,0,0,0,0,0,0
2,000113f07ec002fd,hey man im really not try to edit war its just that this guy be constantly remove relevant information and talk to me through edits instead of my talk page he seem to care more about the formatting than the actual info,0,0,0,0,0,0
3,0001b41b1c6bb37e,more i cant make any real suggestion on improvement i wonder if the section statistic should be later on or a subsection of type of accident i think the reference may need tidy so that they be all in the exact same format ie date format etc i can do that later on if no one else do first if you have any preference for format style on reference or want to do it yourself please let me know there appear to be a backlog on article for review so i guess there may be a delay until a reviewer turn up its list in the relevant form eg wikipedia : good_article_nominations # transport,0,0,0,0,0,0
4,0001d958c54c6e35,you sir be my hero any chance you remember what page thats on,0,0,0,0,0,0
5,00025465d4725e87,congratulations from me a well use the tool well · talk,0,0,0,0,0,0
6,0002bcb3da6cb337,cocksucker before you piss around on my work,1,1,1,0,1,0
7,00031b1e95af7921,your vandalism to the matt shirvington article have be revert please dont do it again or you will be ban,0,0,0,0,0,0
8,00037261f536c51d,sorry if the word nonsense be offensive to you anyway im not intend to write anything in the article wow they would jump on me for vandalism im merely request that it be more encyclopedic so one can use it for school a a reference i have be to the selective breeding page but it almost a stub it point to animal breeding which be a short messy article that give you no info there must be someone around with expertise in eugenics 93 161 107 169,0,0,0,0,0,0
9,00040093b2687caa,alignment on this subject and which be contrary to those of dulithgow,0,0,0,0,0,0
10,0005300084f90edc,fair use rationale for image : wonju jpg thanks for uploading image : wonju jpg i notice the image page specifies that the image be be use under fair use but there be no explanation or rationale a to why it use in wikipedia article constitute fair use in addition to the boilerplate fair use template you must also write out on the image description page a specific explanation or rationale for why use this image in each article be consistent with fair use please go to the image description page and edit it to include a fair use rationale if you have upload other fair use medium consider check that you have specify the fair use rationale on those page too you can find a list of image page you have edit by click on the my contribution link it be locate at the very top of any wikipedia page when you be log in and then select image from the dropdown box note that any fair use image upload after 4 may 2006 and lack such an explanation will be delete one week after they have be upload a describe on criterion for speedy deletion if you have any question please ask them at the media copyright question page thank you talk • contribs • unspecified source for image : wonju jpg thanks for uploading image : wonju jpg i notice that the file description page currently doesnt specify who create the content so the copyright status be unclear if you do not create this file yourself then you will need to specify the owner of the copyright if you obtain it from a website then a link to the website from which it be take together with a restatement of that websites term of use of it content be usually sufficient information however if the copyright holder be different from the website publisher then their copyright should also be acknowledge as well a add the source please add a proper copyright license tag if the file doesnt have one already if you created/took the picture audio or video then the tag can be use to release it under the gfdl if you believe the medium meet the criterion at wikipedia : fair use use a tag such a or one of the other tag list at wikipedia : image copyright tag # fair use see wikipedia : image copyright tag for the full list of copyright tag that you can use if you have upload other file consider check that you have specify their source and tag them too you can find a list of file you have upload by follow [ this link ] unsourced and untagged image may be delete one week after they have be tag a describe on criterion for speedy deletion if the image be copyright under a non free license per wikipedia : fair use then the image will be delete 48 hour after if you have any question please ask them at the media copyright question page thank you talk • contribs •,0,0,0,0,0,0
11,00054a5e18b50dd4,bbq be a man and let discuss it maybe over the phone,0,0,0,0,0,0
12,0005c987bdfc9d4b,hey what be it @ | talk what be it an exclusive group of some wp talibans who be good at destroy self appoint purist who gang up any one who ask them question abt their anti social and destructive non contribution at wp ask sityush to clean up his behavior than issue me nonsensical warning,1,0,0,0,0,0
13,0006f16e4e9f292e,before you start throw accusation and warning at me let review the edit itself make ad hominem attack isnt go to strengthen your argument it will merely make it look like you be abuse your power a an admin now the edit itself be relevant this be probably the single most talked about event int he news a of late his absence be notable since he be the only living ex president who do not attend thats certainly more notable than his dedicate an aircracft carrier i intend to revert this edit in hope of attract the attention of an admin that be willing to look at the issue itself and not throw accusation around quite so liberally perhaps if you achieve a level of civility where you can do this we can have a rational discussion on the topic and resolve the matter peacefully,0,0,0,0,0,0
14,00070ef96486d6f9,oh and the girl above start her argument with me she stick her nose where it doesnt belong i believe the argument be between me and yvesnimmo but like i say the situation be settle and i apologize thanks,0,0,0,0,0,0
15,00078f8ce7eb276d,juelz santanas age in 2002 juelz santana be 18 year old then come february 18th which make juelz turn 19 make song with the diplomats the third neff to be sign to cams label under roc a fella in 2003 he be 20 year old come out with his own single santanas town and down so yes he be bear in 1983 he really be how could he be older then lloyd banks and how could he be 22 when his birthday pass the homie neff be 23 year old 1983 2006 juelz death god forbid if your think about that equal 23 go to your caculator and stop change his year of birth my god,0,0,0,0,0,0
16,0007e25b2121310b,bye dont look come or think of comming back tosser,1,0,0,0,0,0
17,000897889268bc93,redirect talk : voydan pop georgiev chernodrinski,0,0,0,0,0,0
